Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
ISIC_0024329.jpg,akiec,74.61140939597314,131.15620917976668,51.6303355704698,113.90022971938201,0.18323606511018564,0.15220631694671832,0.22284588698415042,0.15584359860641328,6.2964205816554815,8.268411332822845,5.003579418344519,7.604567361830547,8.76710182229909,8.991101209980332,8.568895175175614,8.91820659156378,0.00024231140739406132,0.00019069075793291335,0.0002852864485583732,0.00020139306457783395,0.015566354980985797,0.013809082443555522,0.016890424759560464,0.014191302427114784,0.9930423885709,0.9877669048764732,0.9951992220024823,0.9893761017507202
ISIC_0024329.jpg_aug1,akiec,74.61140939597314,113.90022971938201,51.6303355704698,131.15620917976668,0.18323606511018564,0.15584359860641328,0.22284588698415042,0.15220631694671832,6.2964205816554815,7.604567361830547,5.003579418344519,8.268411332822845,8.76710182229909,8.91820659156378,8.568895175175614,8.991101209980332,0.00024231140739406132,0.00020139306457783395,0.0002852864485583732,0.00019069075793291335,0.015566354980985797,0.014191302427114784,0.016890424759560464,0.013809082443555522,0.9930423885709,0.9893761017507202,0.9951992220024823,0.9877669048764732
ISIC_0024329.jpg_aug2,akiec,74.61140939597314,113.90022971938201,51.6303355704698,131.15620917976668,0.18323606511018564,0.15584359860641328,0.22284588698415042,0.15220631694671832,6.2964205816554815,7.604567361830547,5.003579418344519,8.268411332822845,8.76710182229909,8.91820659156378,8.568895175175614,8.991101209980332,0.00024231140739406132,0.00020139306457783395,0.0002852864485583732,0.00019069075793291335,0.015566354980985797,0.014191302427114784,0.016890424759560464,0.013809082443555522,0.9930423885709,0.9893761017507202,0.9951992220024823,0.9877669048764732
ISIC_0024329.jpg_aug3,akiec,51.6303355704698,113.90022971938201,74.61140939597314,131.15620917976668,0.22284588698415042,0.15584359860641328,0.18323606511018564,0.15220631694671832,5.003579418344519,7.604567361830547,6.2964205816554815,8.268411332822845,8.568895175175614,8.91820659156378,8.76710182229909,8.991101209980332,0.0002852864485583732,0.00020139306457783395,0.00024231140739406132,0.00019069075793291335,0.016890424759560464,0.014191302427114784,0.015566354980985797,0.013809082443555522,0.9951992220024823,0.9893761017507202,0.9930423885709,0.9877669048764732
ISIC_0024329.jpg_aug4,akiec,74.61140939597314,131.15620917976668,51.6303355704698,113.90022971938201,0.18323606511018564,0.15220631694671832,0.22284588698415042,0.15584359860641328,6.2964205816554815,8.268411332822845,5.003579418344519,7.604567361830547,8.76710182229909,8.991101209980332,8.568895175175614,8.91820659156378,0.00024231140739406132,0.00019069075793291335,0.0002852864485583732,0.00020139306457783395,0.015566354980985797,0.013809082443555522,0.016890424759560464,0.014191302427114784,0.9930423885709,0.9877669048764732,0.9951992220024823,0.9893761017507202
ISIC_0024463.jpg,akiec,96.38389261744966,168.61078329804968,75.34331096196867,162.81154002071983,0.17383423696282818,0.13485034217047626,0.19070586860627237,0.14136204502021346,7.012438478747204,9.325345705148418,6.22751677852349,9.020899959461286,8.843704588571113,9.07860972972089,8.748014824014607,9.041748376424135,0.00021089840797962055,0.00016362355926942803,0.00023178035023447392,0.00017337838208436224,0.0145223416837513,0.012791542489841795,0.01522433414749144,0.013167322510076308,0.9908655697118797,0.9840253597693064,0.9928444826766887,0.9845748407215454
ISIC_0024463.jpg_aug1,akiec,96.38389261744966,162.81154002071983,75.34331096196867,168.61078329804968,0.17383423696282818,0.14136204502021346,0.19070586860627237,0.13485034217047626,7.012438478747204,9.020899959461286,6.22751677852349,9.325345705148418,8.843704588571113,9.041748376424135,8.748014824014607,9.07860972972089,0.00021089840797962055,0.00017337838208436224,0.00023178035023447392,0.00016362355926942803,0.0145223416837513,0.013167322510076308,0.01522433414749144,0.012791542489841795,0.9908655697118797,0.9845748407215454,0.9928444826766887,0.9840253597693064
ISIC_0024463.jpg_aug2,akiec,96.38389261744966,162.81154002071983,75.34331096196867,168.61078329804968,0.17383423696282818,0.14136204502021346,0.19070586860627237,0.13485034217047626,7.012438478747204,9.020899959461286,6.22751677852349,9.325345705148418,8.843704588571113,9.041748376424135,8.748014824014607,9.07860972972089,0.00021089840797962055,0.00017337838208436224,0.00023178035023447392,0.00016362355926942803,0.0145223416837513,0.013167322510076308,0.01522433414749144,0.012791542489841795,0.9908655697118797,0.9845748407215454,0.9928444826766887,0.9840253597693064
ISIC_0024463.jpg_aug3,akiec,75.34331096196867,162.81154002071983,96.38389261744966,168.61078329804968,0.19070586860627237,0.14136204502021346,0.17383423696282818,0.13485034217047626,6.22751677852349,9.020899959461286,7.012438478747204,9.325345705148418,8.748014824014607,9.041748376424135,8.843704588571113,9.07860972972089,0.00023178035023447392,0.00017337838208436224,0.00021089840797962055,0.00016362355926942803,0.01522433414749144,0.013167322510076308,0.0145223416837513,0.012791542489841795,0.9928444826766887,0.9845748407215454,0.9908655697118797,0.9840253597693064
ISIC_0024463.jpg_aug4,akiec,96.38389261744966,168.61078329804968,75.34331096196867,162.81154002071983,0.17383423696282818,0.13485034217047626,0.19070586860627237,0.14136204502021346,7.012438478747204,9.325345705148418,6.22751677852349,9.020899959461286,8.843704588571113,9.07860972972089,8.748014824014607,9.041748376424135,0.00021089840797962055,0.00016362355926942803,0.00023178035023447392,0.00017337838208436224,0.0145223416837513,0.012791542489841795,0.01522433414749144,0.013167322510076308,0.9908655697118797,0.9840253597693064,0.9928444826766887,0.9845748407215454
